target	name	kmer count	in use
0	none	0	0
1	root	0	0
2	Acaryochloridaceae	0	0
3	Acaryochloridaceae_Acaryochloris	38315	1
4	Acaryochloridaceae_Acaryochloris_marina	80000	1
5	Acetobacteraceae	7563	1
6	Acetobacteraceae_Acetobacter	6143	1
7	Acetobacteraceae_Acetobacter_pasteurianus	52377	1
8	Acetobacteraceae_Acetobacter_pomorum	8006	1
9	Acetobacteraceae_Acetobacter_tropicalis	2205	1
10	Acetobacteraceae_Acidiphilium	70957	1
11	Acetobacteraceae_Acidiphilium_cryptum	8074	1
12	Acetobacteraceae_Acidiphilium_multivorum	14469	1
13	Acetobacteraceae_Acidocella	1844	1
14	Acetobacteraceae_Asaia	6616	1
15	Acetobacteraceae_Commensalibacter	0	0
16	Acetobacteraceae_Commensalibacter_intestini	20939	1
17	Acetobacteraceae_Gluconacetobacter	12576	1
18	Acetobacteraceae_Gluconacetobacter_diazotrophicus	78574	1
19	Acetobacteraceae_Gluconacetobacter_europaeus	3392	1
20	Acetobacteraceae_Gluconacetobacter_hansenii	4955	1
21	Acetobacteraceae_Gluconacetobacter_medellinensis	60360	1
22	Acetobacteraceae_Gluconacetobacter_oboediens	2501	1
23	Acetobacteraceae_Gluconobacter	80000	1
24	Acetobacteraceae_Gluconobacter_albidus	4330	1
25	Acetobacteraceae_Gluconobacter_cerinus	7849	1
26	Acetobacteraceae_Gluconobacter_frateurii	337	1
27	Acetobacteraceae_Gluconobacter_japonicus	154	1
28	Acetobacteraceae_Gluconobacter_morbifer	22377	1
29	Acetobacteraceae_Gluconobacter_oxydans	244	1
30	Acetobacteraceae_Gluconobacter_oxydans_cluster 1	22391	1
31	Acetobacteraceae_Gluconobacter_oxydans_cluster 2	14053	1
32	Acetobacteraceae_Gluconobacter_oxydans_cluster 3	52920	1
33	Acetobacteraceae_Gluconobacter_roseus	9681	1
34	Acetobacteraceae_Gluconobacter_thailandicus	1283	1
35	Acetobacteraceae_Granulibacter	0	0
36	Acetobacteraceae_Granulibacter_bethesdensis	57903	1
37	Acetobacteraceae_Roseomonas	4278	1
38	Acetobacteraceae_Roseomonas_cervicalis	1658	1
39	Acetobacteraceae_Saccharibacter	0	0
40	Acetobacteraceae_Saccharibacter_floricola	8321	1
41	Acholeplasmataceae	5	0
42	Acholeplasmataceae_Acholeplasma	0	0
43	Acholeplasmataceae_Acholeplasma_laidlawii	32393	1
44	Acholeplasmataceae_Phytoplasma	0	0
45	Acholeplasmataceae_Phytoplasma_asteris	13428	1
46	Acidaminococcaceae	48	1
47	Acidaminococcaceae_Acidaminococcus	118	1
48	Acidaminococcaceae_Acidaminococcus_fermentans	48942	1
49	Acidaminococcaceae_Acidaminococcus_intestini	1491	1
50	Acidaminococcaceae_Phascolarctobacterium	1979	1
51	Acidaminococcaceae_Phascolarctobacterium_succinatutens	753	1
52	Acidaminococcaceae_Succinispira	0	0
53	Acidaminococcaceae_Succinispira_mobilis	23973	1
54	Acidilobaceae	0	0
55	Acidilobaceae_Acidilobus	0	0
56	Acidilobaceae_Acidilobus_saccharovorans	32337	1
57	Acidimicrobiaceae	19	0
58	Acidimicrobiaceae_Acidimicrobium	0	0
59	Acidimicrobiaceae_Acidimicrobium_ferrooxidans	45689	1
60	Acidimicrobiaceae_Ilumatobacter	0	0
61	Acidimicrobiaceae_Ilumatobacter_coccineus	80000	1
62	Acidithiobacillaceae	0	0
63	Acidithiobacillaceae_Acidithiobacillus	2601	1
64	Acidithiobacillaceae_Acidithiobacillus_caldus	58633	1
65	Acidithiobacillaceae_Acidithiobacillus_ferrivorans	65100	1
66	Acidithiobacillaceae_Acidithiobacillus_ferrooxidans	58188	1
67	Acidithiobacillaceae_Acidithiobacillus_thiooxidans	2475	1
68	Acidobacteriaceae	728	1
69	Acidobacteriaceae_Acidobacterium	0	0
70	Acidobacteriaceae_Acidobacterium_capsulatum	80000	1
71	Acidobacteriaceae_Granulicella	167	1
72	Acidobacteriaceae_Granulicella_mallensis	80000	1
73	Acidobacteriaceae_Granulicella_tundricola	80000	1
74	Acidobacteriaceae_Terriglobus	154	1
75	Acidobacteriaceae_Terriglobus_roseus	80000	1
76	Acidobacteriaceae_Terriglobus_saanensis	80000	1
77	Acidothermaceae	0	0
78	Acidothermaceae_Acidothermus	0	0
79	Acidothermaceae_Acidothermus_cellulolyticus	52671	1
80	Aciduliprofundum	0	0
81	Aciduliprofundum_Aciduliprofundum	0	0
82	Aciduliprofundum_Aciduliprofundum_boonei	32015	1
83	Actinobacteria	0	0
84	Actinobacteria_Thermobispora	0	0
85	Actinobacteria_Thermobispora_bispora	80000	1
86	Actinomycetaceae	1301	1
87	Actinomycetaceae_Actinobaculum	2693	1
88	Actinomycetaceae_Actinobaculum_massiliae	10505	1
89	Actinomycetaceae_Actinobaculum_schaalii	9588	1
90	Actinomycetaceae_Actinobaculum_urinale	6703	1
91	Actinomycetaceae_Actinomyces	25674	1
92	Actinomycetaceae_Actinomyces_cardiffensis	8184	1
93	Actinomycetaceae_Actinomyces_coleocanis	11638	1
94	Actinomycetaceae_Actinomyces_dentalis	3615	1
95	Actinomycetaceae_Actinomyces_europaeus	33730	1
96	Actinomycetaceae_Actinomyces_georgiae	6576	1
97	Actinomycetaceae_Actinomyces_gerencseriae	8924	1
98	Actinomycetaceae_Actinomyces_graevenitzii	4510	1
99	Actinomycetaceae_Actinomyces_israelii	5543	1
100	Actinomycetaceae_Actinomyces_johnsonii	1220	1
101	Actinomycetaceae_Actinomyces_massiliensis	5965	1
102	Actinomycetaceae_Actinomyces_meyeri	42273	1
103	Actinomycetaceae_Actinomyces_naeslundii	2761	1
104	Actinomycetaceae_Actinomyces_neuii	9032	1
105	Actinomycetaceae_Actinomyces_odontolyticus	31677	1
106	Actinomycetaceae_Actinomyces_oris	559	1
107	Actinomycetaceae_Actinomyces_radicidentis	61390	1
