phylum	class	order	family	genus	species	subsp	subsub	key	strain
DNA viruses			Pleolipoviridae	Alphapleolipovirus	Haloarcula virus HHPV-1			GU321093	Haloarcula hispanica pleomorphic virus 1
DNA viruses			Pleolipoviridae	Alphapleolipovirus	Haloarcula virus HHPV-2			KF056323	Haloarcula hispanica pleomorphic virus 2
DNA viruses			Pleolipoviridae	Alphapleolipovirus	Halorubrum virus HRPV-1			FJ685651	Halorubrum pleomorphic virus 1
DNA viruses			Pleolipoviridae	Alphapleolipovirus	Halorubrum virus HRPV-2			JN882264	Halorubrum pleomorphic virus 2
DNA viruses			Pleolipoviridae	Alphapleolipovirus	Halorubrum virus HRPV-6			JN882266	Halorubrum pleomorphic virus 6
DNA viruses			Pleolipoviridae	Betapleolipovirus	Halogeometricum virus HGPV-1			JN882267	Halogeometricum pleomorphic virus 1
DNA viruses			Pleolipoviridae	Betapleolipovirus	Halorubrum virus HRPV-3			JN882265	Halorubrum pleomorphic virus 3
DNA viruses			Pleolipoviridae	Gammapleolipovirus	Haloarcula virus His2			AF191797	His2 virus
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Bovine adenovirus E			JQ345700	Bovine adenovirus 6
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Bovine atadenovirus D			AF036092	Bovine atadenovirus D
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Duck atadenovirus A			Y09598	Duck atadenovirus A
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Lizard atadenovirus A			KJ156523	Lizard adenovirus 2
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Ovine atadenovirus D			U40839	Ovine adenovirus 7
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Psittacine atadenovirus A			KJ675568	Psittacine adenovirus 3
"dsDNA viruses, no RNA stage"			Adenoviridae	Atadenovirus	Snake atadenovirus A			DQ106414	Snake adenovirus 1
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Duck aviadenovirus B			KJ469653	Duck adenovirus 2
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Fowl aviadenovirus A			U46933	Fowl aviadenovirus A
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Fowl aviadenovirus B			KC493646	Fowl aviadenovirus 5
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Fowl aviadenovirus C			GU188428	Fowl aviadenovirus C
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Fowl aviadenovirus D			AF083975	Fowl aviadenovirus D
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Fowl aviadenovirus E			GU734104	Fowl aviadenovirus E
