class	order	family	genus	species	ssp	Accession			
Acoela	none	Isodiametridae	Archaphanostoma	ylvae		NC_034947			
Acoela	none	Isodiametridae	Isodiametra	pulchra		NC_034948			
Acoela	none	Paratomellidae	Paratomella	rubra		NC_034946			
Acoela	none	Sagittiferidae	Symsagittifera	roscoffensis		NC_014578			
Aconoidasida	Haemosporida	Haemoproteidae	Haemoproteus	columbae		NC_012448			
Aconoidasida	Haemosporida	Haemoproteidae	Haemoproteus	tartakovskyi		CM004177			
Aconoidasida	Haemosporida	Haemoproteidae	Haemoproteus			NC_012423			
Aconoidasida	Haemosporida	Haemoproteidae	Haemoproteus			NC_012425			
Aconoidasida	Haemosporida	Haemoproteidae	Parahaemoproteus	vireonis		NC_012447			
Aconoidasida	Haemosporida	Leucocytozoidae	Leucocytozoon	caulleryi		NC_015304			
Aconoidasida	Haemosporida	Leucocytozoidae	Leucocytozoon	fringillinarum		NC_012451			
Aconoidasida	Haemosporida	Leucocytozoidae	Leucocytozoon	majoris		NC_012450			
Aconoidasida	Haemosporida	Leucocytozoidae	Leucocytozoon	sabrazesi		NC_009336			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	berghei		LK023131			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	berghei		LT608264			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	berghei		LT608280			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	berghei		LT614642			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	berghei		NC_015303			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	brasilianum		CM007352			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	chabaudi		NW_015971901			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	cynomolgi		LT841393			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	falciparum		AJ276844			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	falciparum		CP017005			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	falciparum		DQ642845			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	floridense		NC_009961			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	fragile		NC_012369			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	gallinaceum		LN835294			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	gallinaceum		NC_008288			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	juxtanucleare		NC_008279			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	knowlesi		NC_007232			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	malariae		LT594637			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	mexicanum		NC_009960			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	ovale		LT594520			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	reichenowi		NC_002235			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	relictum		LN835311			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	relictum		NC_012426			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	simium		NC_007233			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	vivax		LT635627			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	vivax		NC_007243			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	vivax		NC_028626			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	yoelii		LK934644			
Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	yoelii		NW_019223694			
Aconoidasida	none	Babesiidae	Babesia	bovis		NC_009902			
Aconoidasida	none	Babesiidae	Babesia	microti		LN871601			
Aconoidasida	none	Babesiidae	Babesia	microti		LN871603			
Aconoidasida	none	Babesiidae	Babesia	microti		NC_034637			
Aconoidasida	none	Babesiidae	Babesia	microti		NC_031328			
Aconoidasida	none	Theileriidae	Theileria	parva		NC_011005			
Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	leucosternon		NC_009830			
Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	lineatus		NC_010108			
Actinopteri	Acanthuriformes	Acanthuridae	Naso	lopezi		NC_009853			
Actinopteri	Acanthuriformes	Acanthuridae	Paracanthurus	hepatus		NC_029237			
Actinopteri	Acanthuriformes	Acanthuridae	Zebrasoma	flavescens		NC_009874			
Actinopteri	Acanthuriformes	Luvaridae	Luvarus	imperialis		NC_009851			
Actinopteri	Acanthuriformes	Zanclidae	Zanclus	cornutus		NC_009852			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	baerii		NC_017603			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	brevirostrum		NC_032715			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	dabryanus		NC_005451			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	dabryanus		NC_036420			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	fulvescens		NC_030325			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	gueldenstaedtii		NC_012576			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	gueldenstaedtii		NC_036675			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	medirostris		NC_028405			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	mikadoi		NC_031188			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	nudiventris		NC_030344			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	oxyrinchus		NC_028290			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	ruthenus		NC_022453			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	schrenckii		NC_021757			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	schrenckii		NC_027522			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	sinensis		NC_012646			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	stellatus		NC_005795			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	sturio		NC_027417			
Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	transmontanus		NC_004743			
Actinopteri	Acipenseriformes	Acipenseridae	Huso	dauricus		NC_023837			
Actinopteri	Acipenseriformes	Acipenseridae	Huso	dauricus		NC_034784			
Actinopteri	Acipenseriformes	Acipenseridae	Huso	huso		NC_005252			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus	albus		NC_030324			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus	albus		NC_030327			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus	platorynchus		NC_030326			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus	suttkusi		MF101791			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus	suttkusi		NC_036059			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus	suttkusi		NC_036060			
Actinopteri	Acipenseriformes	Acipenseridae	Scaphirhynchus			NC_004420			
Actinopteri	Acipenseriformes	Polyodontidae	Polyodon	spathula		NC_004419			
Actinopteri	Acipenseriformes	Polyodontidae	Psephurus	gladius		NC_005834			
Actinopteri	Albuliformes	Albulidae	Albula	glossodonta		NC_005800			
Actinopteri	Albuliformes	Albulidae	Pterothrissus	gissu		NC_005796			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	agassizii		NC_013564			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	australis		NC_013566			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	bairdii		NC_013567			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	bicolor		NC_011012			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	productus		NC_013570			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	tenebrosus		NC_004590			
Actinopteri	Alepocephaliformes	Alepocephalidae	Alepocephalus	umbriceps		NC_013572			
Actinopteri	Alepocephaliformes	Alepocephalidae	Bajacalifornia	megalops		NC_013577			
Actinopteri	Alepocephaliformes	Alepocephalidae	Bathyprion	danae		NC_011015			
Actinopteri	Alepocephaliformes	Alepocephalidae	Bathytroctes	breviceps		NC_013574			
Actinopteri	Alepocephaliformes	Alepocephalidae	Bathytroctes	macrolepis		NC_013575			
Actinopteri	Alepocephaliformes	Alepocephalidae	Bathytroctes	michaelsarsi		NC_013579			
Actinopteri	Alepocephaliformes	Alepocephalidae	Bathytroctes	microlepis		NC_011017			
Actinopteri	Alepocephaliformes	Alepocephalidae	Conocara	macropterum		NC_013581			
Actinopteri	Alepocephaliformes	Alepocephalidae	Conocara	murrayi		NC_013583			
Actinopteri	Alepocephaliformes	Alepocephalidae	Herwigia	kreffti		NC_013555			
Actinopteri	Alepocephaliformes	Alepocephalidae	Leptoderma	lubricum		NC_013557			
Actinopteri	Alepocephaliformes	Alepocephalidae	Leptoderma	macrophthalmum		NC_015100			
Actinopteri	Alepocephaliformes	Alepocephalidae	Leptoderma	retropinna		NC_013559			
Actinopteri	Alepocephaliformes	Alepocephalidae	Narcetes	erimelas		NC_011008			
Actinopteri	Alepocephaliformes	Alepocephalidae	Narcetes	stomias		NC_013560			
Actinopteri	Alepocephaliformes	Alepocephalidae	Talismania	bifurcata		NC_013562			
Actinopteri	Alepocephaliformes	Leptochilichthyidae	Leptochilichthys	agassizii		NC_011006			
Actinopteri	Alepocephaliformes	Platytroctidae	Maulisia	mauli		NC_011007			
Actinopteri	Alepocephaliformes	Platytroctidae	Normichthys	operosus		NC_011009			
Actinopteri	Alepocephaliformes	Platytroctidae	Platytroctes	apus		NC_004597			
Actinopteri	Alepocephaliformes	Platytroctidae	Sagamichthys	abei		NC_011010			
Actinopteri	Amiiformes	Amiidae	Amia	calva		NC_004742			
Actinopteri	Anabantiformes	Anabantidae	Anabas	testudineus		NC_024752			
Actinopteri	Anabantiformes	Channidae	Channa	argus		NC_015191			
Actinopteri	Anabantiformes	Channidae	Channa	argus		NC_020012			
Actinopteri	Anabantiformes	Channidae	Channa	asiatica		NC_025225			
Actinopteri	Anabantiformes	Channidae	Channa	maculata		NC_020011			
Actinopteri	Anabantiformes	Channidae	Channa	maculata		NC_021613			
Actinopteri	Anabantiformes	Channidae	Channa	marulius		NC_022713			
Actinopteri	Anabantiformes	Channidae	Channa	micropeltes		NC_030542			
Actinopteri	Anabantiformes	Channidae	Channa	striata		NC_032037			
Actinopteri	Anabantiformes	Channidae	Parachanna	insignis		NC_022480			
Actinopteri	Anabantiformes	Helostomatidae	Helostoma	temminkii		NC_022728			
Actinopteri	Anabantiformes	Osphronemidae	Betta	splendens		NC_026581			
Actinopteri	Anabantiformes	Osphronemidae	Macropodus	chinensis		NC_034352			
Actinopteri	Anabantiformes	Osphronemidae	Macropodus	erythropterus		NC_029946			
Actinopteri	Anabantiformes	Osphronemidae	Macropodus	ocellatus		NC_024753			
Actinopteri	Anabantiformes	Osphronemidae	Macropodus	opercularis		NC_025932			
Actinopteri	Anabantiformes	Osphronemidae	Osphronemus	goramy		NC_031363			
Actinopteri	Anabantiformes	Osphronemidae	Trichogaster	fasciata		NC_026794			
Actinopteri	Anabantiformes	Osphronemidae	Trichogaster	lalius		NC_022479			
Actinopteri	Anabantiformes	Osphronemidae	Trichopodus	leerii		NC_026725			
Actinopteri	Anabantiformes	Osphronemidae	Trichopodus	microlepis		NC_027238			
Actinopteri	Anabantiformes	Osphronemidae	Trichopodus	pectoralis		NC_035144			
Actinopteri	Anabantiformes	Osphronemidae	Trichopodus	trichopterus		NC_026580			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	anguilla		NC_006531			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	australis		NC_006532			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	australis		NC_006533			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	bengalensis		NC_006543			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	bicolor		NC_006534			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	bicolor		NC_006535			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	celebesensis		NC_006537			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	dieffenbachii		NC_006538			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	interioris		NC_006539			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	japonica		CM002536			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	japonica		NC_002707			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	luzonensis		NC_011575			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	malgumora		NC_006536			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	marmorata		NC_006540			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	megastoma		NC_006541			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	mossambica		NC_006542			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	nebulosa		NC_006544			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	obscura		NC_006545			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	reinhardtii		NC_006546			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	rostrata		CM003870			
Actinopteri	Anguilliformes	Anguillidae	Anguilla	rostrata		NC_006547			
Actinopteri	Anguilliformes	Chlopsidae	Kaupichthys	hyoproroides		NC_013607			
Actinopteri	Anguilliformes	Chlopsidae	Robinsia	catherinae		NC_013633			
Actinopteri	Anguilliformes	Colocongridae	Coloconger	cadenati		NC_013606			
Actinopteri	Anguilliformes	Congridae	Ariosoma	shiroanago		NC_013632			
Actinopteri	Anguilliformes	Congridae	Conger	japonicus		NC_027186			
Actinopteri	Anguilliformes	Congridae	Conger	myriaster		NC_002761			
Actinopteri	Anguilliformes	Congridae	Congriscus			NC_013618			
Actinopteri	Anguilliformes	Congridae	Heteroconger	hassi		NC_013629			
Actinopteri	Anguilliformes	Congridae	Paraconger	notialis		NC_013630			
Actinopteri	Anguilliformes	Cyematidae	Cyema	atrum		NC_013609			
Actinopteri	Anguilliformes	Derichthyidae	Derichthys	serpentinus		NC_013611			
Actinopteri	Anguilliformes	Derichthyidae	Nessorhamphus	ingolfianus		NC_013608			
Actinopteri	Anguilliformes	Eurypharyngidae	Eurypharynx	pelecanoides		NC_005299			
Actinopteri	Anguilliformes	Heterenchelyidae	Pythonichthys	microphthalmus		NC_013601			
Actinopteri	Anguilliformes	Monognathidae	Monognathus	jesperseni		NC_013612			
Actinopteri	Anguilliformes	Moringuidae	Moringua	edwardsi		NC_013622			
Actinopteri	Anguilliformes	Moringuidae	Moringua	microchir		NC_013602			
Actinopteri	Anguilliformes	Muraenesocidae	Cynoponticus	ferox		NC_013617			
Actinopteri	Anguilliformes	Muraenesocidae	Muraenesox	bagio		NC_013614			
Actinopteri	Anguilliformes	Muraenidae	Anarchias			NC_013613			
Actinopteri	Anguilliformes	Muraenidae	Enchelynassa	canina		NC_027234			
Actinopteri	Anguilliformes	Muraenidae	Gymnomuraena	zebra		NC_027240			
Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	kidako		NC_004417			
Actinopteri	Anguilliformes	Muraenidae	Rhinomuraena	quaesita		NC_013610			
Actinopteri	Anguilliformes	Myrocongridae	Myroconger	compressus		NC_013631			
Actinopteri	Anguilliformes	Nemichthyidae	Avocettina	infans		NC_013624			
Actinopteri	Anguilliformes	Nemichthyidae	Labichthys	carinatus		NC_013626			
Actinopteri	Anguilliformes	Nemichthyidae	Nemichthys	scolopaceus		NC_013620			
Actinopteri	Anguilliformes	Nettastomatidae	Facciolella	oxyrhyncha		NC_013621			
Actinopteri	Anguilliformes	Nettastomatidae	Hoplunnis	punctata		NC_013623			
Actinopteri	Anguilliformes	Nettastomatidae	Leptocephalus			NC_013615			
Actinopteri	Anguilliformes	Nettastomatidae	Nettastoma	parviceps		NC_013625			
Actinopteri	Anguilliformes	Ophichthidae	Myrichthys	maculosus		NC_013635			
Actinopteri	Anguilliformes	Ophichthidae	Ophisurus	macrorhynchos		NC_005802			
Actinopteri	Anguilliformes	Saccopharyngidae	Saccopharynx	lavenbergi		NC_005298			
Actinopteri	Anguilliformes	Serrivomeridae	Serrivomer	beanii		NC_013627			
Actinopteri	Anguilliformes	Serrivomeridae	Serrivomer	sector		NC_013436			
Actinopteri	Anguilliformes	Serrivomeridae	Stemonidium	hypomelas		NC_013628			
Actinopteri	Anguilliformes	Synaphobranchidae	Ilyophis	brunneus		NC_013634			
Actinopteri	Anguilliformes	Synaphobranchidae	Simenchelys	parasitica		NC_013605			
Actinopteri	Anguilliformes	Synaphobranchidae	Synaphobranchus	kaupii		NC_005805			
Actinopteri	Argentiniformes	Argentinidae	Glossanodon	semifasciatus		NC_004595			
Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	ochotensis		NC_004591			
Actinopteri	Argentiniformes	Microstomatidae	Nansenia	ardesiaca		NC_004596			
Actinopteri	Argentiniformes	Opisthoproctidae	Bathylychnops	exilis		NC_034665			
Actinopteri	Argentiniformes	Opisthoproctidae	Dolichopteryx	minuscula		NC_034666			
Actinopteri	Argentiniformes	Opisthoproctidae	Monacoa	grimaldii		NC_031165			
Actinopteri	Argentiniformes	Opisthoproctidae	Opisthoproctus	soleatus		NC_004600			
Actinopteri	Ateleopodiformes	Ateleopodidae	Ateleopus	japonicus		NC_003178			
Actinopteri	Ateleopodiformes	Ateleopodidae	Ijimaia	dofleini		NC_003179			
Actinopteri	Atheriniformes	Atherinidae	Atherinomorus	lacunosus		NC_036768			
Actinopteri	Atheriniformes	Atherinidae	Atherinosoma	microstoma		NC_035147			
Actinopteri	Atheriniformes	Atherinidae	Craterocephalus	eyresii		NC_035148			
Actinopteri	Atheriniformes	Atherinidae	Hypoatherina	tsurugae		NC_004386			
Actinopteri	Atheriniformes	Atherinopsidae	Chirostoma	humboldtianum		NC_024883			
Actinopteri	Atheriniformes	Atherinopsidae	Menidia	menidia		NC_011174			
Actinopteri	Atheriniformes	Atherinopsidae	Odontesthes			NC_011175			
Actinopteri	Atheriniformes	Bedotiidae	Bedotia	geayi		NC_034336			
Actinopteri	Atheriniformes	Isonidae	Iso	hawaiiensis		NC_011178			
Actinopteri	Atheriniformes	Melanotaeniidae	Glossolepis	incisus		NC_028090			
Actinopteri	Atheriniformes	Melanotaeniidae	Iriatherina	werneri		NC_036767			
Actinopteri	Atheriniformes	Melanotaeniidae	Melanotaenia	australis		NC_030170			
Actinopteri	Atheriniformes	Melanotaeniidae	Melanotaenia	boesemani		NC_028208			
Actinopteri	Atheriniformes	Melanotaeniidae	Melanotaenia	lacustris		NC_004385			
