target	name	probe count	reads hit	reads tested	total size	strains
0	none	0	0	0	0	0
1	root	0	0	0	0	0
2	Acoela	0	0	64305	65105	4
3	Acoela_none	0	0	64305	65105	4
4	Acoela_none_Isodiametridae	0	0	34946	35346	2
5	Acoela_none_Isodiametridae_Archaphanostoma	0	0	16420	16620	1
6	Acoela_none_Isodiametridae_Archaphanostoma_ylvae	2562	16420	16420	16620	1
7	Acoela_none_Isodiametridae_Isodiametra	0	0	18526	18726	1
8	Acoela_none_Isodiametridae_Isodiametra_pulchra	3009	18526	18526	18726	1
9	Acoela_none_Paratomellidae	0	0	14755	14955	1
10	Acoela_none_Paratomellidae_Paratomella	0	0	14755	14955	1
11	Acoela_none_Paratomellidae_Paratomella_rubra	2091	14755	14755	14955	1
12	Acoela_none_Sagittiferidae	0	0	14604	14804	1
13	Acoela_none_Sagittiferidae_Symsagittifera	0	0	14604	14804	1
14	Acoela_none_Sagittiferidae_Symsagittifera_roscoffensis	1488	9740	14604	14804	1
15	Aconoidasida	4	182	273577	282377	44
16	Aconoidasida_Haemosporida	741	754	220121	227721	38
17	Aconoidasida_Haemosporida_Haemoproteidae	220	3349	28818	29818	5
18	Aconoidasida_Haemosporida_Haemoproteidae_Haemoproteus	278	11484	23124	23924	4
19	Aconoidasida_Haemosporida_Haemoproteidae_Haemoproteus_columbae	216	1609	5789	5989	1
20	Aconoidasida_Haemosporida_Haemoproteidae_Haemoproteus_tartakovskyi	393	5132	5793	5993	1
21	Aconoidasida_Haemosporida_Haemoproteidae_Parahaemoproteus	0	0	5694	5894	1
22	Aconoidasida_Haemosporida_Haemoproteidae_Parahaemoproteus_vireonis	189	2448	5694	5894	1
23	Aconoidasida_Haemosporida_Leucocytozoidae	0	0	23774	24574	4
24	Aconoidasida_Haemosporida_Leucocytozoidae_Leucocytozoon	214	521	23774	24574	4
25	Aconoidasida_Haemosporida_Leucocytozoidae_Leucocytozoon_caulleryi	677	5760	5760	5960	1
26	Aconoidasida_Haemosporida_Leucocytozoidae_Leucocytozoon_fringillinarum	609	5450	5793	5993	1
27	Aconoidasida_Haemosporida_Leucocytozoidae_Leucocytozoon_majoris	623	6307	6485	6685	1
28	Aconoidasida_Haemosporida_Leucocytozoidae_Leucocytozoon_sabrazesi	784	5736	5736	5936	1
29	Aconoidasida_Haemosporida_Plasmodiidae	0	0	167529	173329	29
30	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium	2804	63360	167529	173329	29
31	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_berghei	300	20124	27518	28518	5
32	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_brasilianum	0	0	6103	6303	1
33	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_chabaudi	539	5573	5750	5950	1
34	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_cynomolgi	137	3872	5818	6018	1
35	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_falciparum	340	14340	17304	17904	3
36	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_floridense	422	5334	5803	6003	1
37	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_fragile	303	5022	5778	5978	1
38	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_gallinaceum	331	10338	12352	12752	2
39	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_juxtanucleare	513	5382	5815	6015	1
40	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_knowlesi	308	5052	5758	5958	1
41	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_malariae	29	875	5770	5970	1
42	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_mexicanum	584	5625	5792	5992	1
43	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_ovale	18	593	5385	5585	1
44	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_reichenowi	398	5189	5767	5967	1
45	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_relictum	30	5178	11690	12090	2
46	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_simium	11	562	5791	5991	1
47	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_vivax	7	1138	17264	17864	3
48	Aconoidasida_Haemosporida_Plasmodiidae_Plasmodium_yoelii	321	9463	12071	12471	2
49	Aconoidasida_none	19	0	53456	54656	6
50	Aconoidasida_none_Babesiidae	0	0	47760	48760	5
51	Aconoidasida_none_Babesiidae_Babesia	0	0	47760	48760	5
52	Aconoidasida_none_Babesiidae_Babesia_bovis	943	5806	5806	6006	1
53	Aconoidasida_none_Babesiidae_Babesia_microti	1437	37144	41954	42754	4
54	Aconoidasida_none_Theileriidae	0	0	5696	5896	1
55	Aconoidasida_none_Theileriidae_Theileria	0	0	5696	5896	1
56	Aconoidasida_none_Theileriidae_Theileria_parva	936	5696	5696	5896	1
57	Actinopteri	80000	269002	39563606	40044406	2404
58	Actinopteri_Acanthuriformes	11	0	114134	115534	7
59	Actinopteri_Acanthuriformes_Acanthuridae	31	41	81514	82514	5
60	Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus	95	19	32568	32968	2
61	Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus_leucosternon	1892	16136	16235	16435	1
62	Actinopteri_Acanthuriformes_Acanthuridae_Acanthurus_lineatus	1934	16236	16333	16533	1
63	Actinopteri_Acanthuriformes_Acanthuridae_Naso	0	0	16343	16543	1
64	Actinopteri_Acanthuriformes_Acanthuridae_Naso_lopezi	1889	16194	16343	16543	1
65	Actinopteri_Acanthuriformes_Acanthuridae_Paracanthurus	0	0	16299	16499	1
66	Actinopteri_Acanthuriformes_Acanthuridae_Paracanthurus_hepatus	1883	16183	16299	16499	1
67	Actinopteri_Acanthuriformes_Acanthuridae_Zebrasoma	0	0	16304	16504	1
68	Actinopteri_Acanthuriformes_Acanthuridae_Zebrasoma_flavescens	1810	16189	16304	16504	1
69	Actinopteri_Acanthuriformes_Luvaridae	0	0	16298	16498	1
70	Actinopteri_Acanthuriformes_Luvaridae_Luvarus	0	0	16298	16498	1
71	Actinopteri_Acanthuriformes_Luvaridae_Luvarus_imperialis	1852	16082	16298	16498	1
72	Actinopteri_Acanthuriformes_Zanclidae	0	0	16322	16522	1
73	Actinopteri_Acanthuriformes_Zanclidae_Zanclus	0	0	16322	16522	1
74	Actinopteri_Acanthuriformes_Zanclidae_Zanclus_cornutus	2097	16271	16322	16522	1
75	Actinopteri_Acipenseriformes	457	5446	491637	497637	30
76	Actinopteri_Acipenseriformes_Acipenseridae	2377	33052	459040	464640	28
77	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser	3561	97660	295424	299024	18
78	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_baerii	281	7729	16564	16764	1
79	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_brevirostrum	378	9278	16481	16681	1
80	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_dabryanus	992	29735	32479	32879	2
81	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_fulvescens	767	13117	16343	16543	1
82	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_gueldenstaedtii	119	6700	32790	33190	2
83	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_medirostris	169	4843	16412	16612	1
84	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_mikadoi	190	6055	16411	16611	1
85	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_nudiventris	402	9137	16344	16544	1
86	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_oxyrinchus	1154	14989	16366	16566	1
87	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_ruthenus	853	13843	16591	16791	1
88	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_schrenckii	255	14575	32973	33373	2
89	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_sinensis	284	6328	16483	16683	1
90	Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_stellatus	726	10742	16338	16538	1
