target	name	probe count	reads hit	reads tested	total size	strains
0	none	0	0	0	0	0
1	root	0	0	0	0	0
2	Alveolata	0	0	322522	323122	3
3	Alveolata_Dinophyceae	0	0	322522	323122	3
4	Alveolata_Dinophyceae_Gymnodiniales	0	0	66024	66224	1
5	Alveolata_Dinophyceae_Gymnodiniales_Gymnodiniaceae	0	0	66024	66224	1
6	Alveolata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Lepidodinium	0	0	66024	66224	1
7	Alveolata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Lepidodinium_chlorophorum	10700	66024	66024	66224	1
8	Alveolata_Dinophyceae_Peridiniales	0	0	256498	256898	2
9	Alveolata_Dinophyceae_Peridiniales_Peridiniaceae	345	113	256498	256898	2
10	Alveolata_Dinophyceae_Peridiniales_Peridiniaceae_Durinskia	0	0	116271	116471	1
11	Alveolata_Dinophyceae_Peridiniales_Peridiniaceae_Durinskia_baltica	15134	108156	116271	116471	1
12	Alveolata_Dinophyceae_Peridiniales_Peridiniaceae_Kryptoperidinium	0	0	140227	140427	1
13	Alveolata_Dinophyceae_Peridiniales_Peridiniaceae_Kryptoperidinium_foliaceum	19188	132011	140227	140427	1
14	Bacillariophyta	9577	31649	4831262	4838662	37
15	Bacillariophyta_Bacillariophyceae	762	14623	921176	922576	7
16	Bacillariophyta_Bacillariophyceae_Bacillariales	0	0	276950	277350	2
17	Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariaceae	27	0	276950	277350	2
18	Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariaceae_Cylindrotheca	0	0	165610	165810	1
19	Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariaceae_Cylindrotheca_closterium	22367	157624	165610	165810	1
20	Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariaceae_Pseudo-nitzschia	0	0	111340	111540	1
21	Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariaceae_Pseudo-nitzschia_multiseries	15763	107304	111340	111540	1
22	Bacillariophyta_Bacillariophyceae_Bacillariophyceae	0	0	121857	122057	1
23	Bacillariophyta_Bacillariophyceae_Bacillariophyceae_Entomoneidaceae	0	0	121857	122057	1
24	Bacillariophyta_Bacillariophyceae_Bacillariophyceae_Entomoneidaceae_Entomoneis	0	0	121857	122057	1
25	Bacillariophyta_Bacillariophyceae_Bacillariophyceae_Entomoneidaceae_Entomoneis_sp.	16187	116231	121857	122057	1
26	Bacillariophyta_Bacillariophyceae_Cymbellales	0	0	117773	117973	1
27	Bacillariophyta_Bacillariophyceae_Cymbellales_Gomphonemataceae	0	0	117773	117973	1
28	Bacillariophyta_Bacillariophyceae_Cymbellales_Gomphonemataceae_Didymosphenia	0	0	117773	117973	1
29	Bacillariophyta_Bacillariophyceae_Cymbellales_Gomphonemataceae_Didymosphenia_geminata	15678	109608	117773	117973	1
30	Bacillariophyta_Bacillariophyceae_Eunotiales	0	0	152707	152907	1
31	Bacillariophyta_Bacillariophyceae_Eunotiales_Eunotiaceae	0	0	152707	152907	1
32	Bacillariophyta_Bacillariophyceae_Eunotiales_Eunotiaceae_Eunotia	0	0	152707	152907	1
33	Bacillariophyta_Bacillariophyceae_Eunotiales_Eunotiaceae_Eunotia_naegelii	17247	144676	152707	152907	1
34	Bacillariophyta_Bacillariophyceae_Naviculales	9	0	251889	252289	2
35	Bacillariophyta_Bacillariophyceae_Naviculales_Naviculaceae	0	0	134719	134919	1
36	Bacillariophyta_Bacillariophyceae_Naviculales_Naviculaceae_Fistulifera	0	0	134719	134919	1
37	Bacillariophyta_Bacillariophyceae_Naviculales_Naviculaceae_Fistulifera_solaris	8285	62884	134719	134919	1
38	Bacillariophyta_Bacillariophyceae_Naviculales_Phaeodactylaceae	0	0	117170	117370	1
39	Bacillariophyta_Bacillariophyceae_Naviculales_Phaeodactylaceae_Phaeodactylum	0	0	117170	117370	1
40	Bacillariophyta_Bacillariophyceae_Naviculales_Phaeodactylaceae_Phaeodactylum_tricornutum	15832	109141	117170	117370	1
41	Bacillariophyta_Coscinodiscophyceae	1532	6591	2015300	2018500	16
42	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales	88	2203	365819	366419	3
43	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Acanthocerataceae	0	0	120193	120393	1
44	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Acanthocerataceae_Acanthoceras	0	0	120193	120393	1
45	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Acanthocerataceae_Acanthoceras_zachariasii	15842	119465	120193	120393	1
46	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Attheyaceae	0	0	129366	129566	1
47	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Attheyaceae_Attheya	0	0	129366	129566	1
48	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Attheyaceae_Attheya_longicornis	16994	124712	129366	129566	1
49	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Chaetocerotaceae	0	0	116260	116460	1
50	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Chaetocerotaceae_Chaetoceros	0	0	116260	116460	1
51	Bacillariophyta_Coscinodiscophyceae_Chaetocerotales_Chaetocerotaceae_Chaetoceros_simplex	8838	66493	116260	116460	1
52	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales	36	0	240935	241335	2
53	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales_Coscinodiscaceae	0	0	122014	122214	1
54	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus	0	0	122014	122214	1
55	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_radiatus	15673	113942	122014	122214	1
56	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales_Hemidiscaceae	0	0	118921	119121	1
57	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales_Hemidiscaceae_Actinocyclus	0	0	118921	119121	1
58	Bacillariophyta_Coscinodiscophyceae_Coscinodiscales_Hemidiscaceae_Actinocyclus_subtilis	15355	114479	118921	119121	1
59	Bacillariophyta_Coscinodiscophyceae_Leptocylindrales	0	0	125014	125214	1
60	Bacillariophyta_Coscinodiscophyceae_Leptocylindrales_Leptocylindraceae	0	0	125014	125214	1
61	Bacillariophyta_Coscinodiscophyceae_Leptocylindrales_Leptocylindraceae_Leptocylindrus	0	0	125014	125214	1
62	Bacillariophyta_Coscinodiscophyceae_Leptocylindrales_Leptocylindraceae_Leptocylindrus_danicus	16780	116467	125014	125214	1
63	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales	0	0	488599	489399	4
64	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae	210	4447	488599	489399	4
65	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae_Guinardia	0	0	121946	122146	1
66	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae_Guinardia_striata	15412	116116	121946	122146	1
67	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae_Rhizosolenia	485	2799	366653	367253	3
68	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae_Rhizosolenia_fallax	14879	122064	125084	125284	1
69	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae_Rhizosolenia_imbricata	14755	112375	120757	120957	1
70	Bacillariophyta_Coscinodiscophyceae_Rhizosoleniales_Rhizosoleniaceae_Rhizosolenia_setigera	9187	68871	120812	121012	1
71	Bacillariophyta_Coscinodiscophyceae_Thalassiosirales	1174	3326	794933	796133	6
72	Bacillariophyta_Coscinodiscophyceae_Thalassiosirales_Stephanodiscaceae	0	0	129062	129262	1
73	Bacillariophyta_Coscinodiscophyceae_Thalassiosirales_Stephanodiscaceae_Cyclotella	0	0	129062	129262	1
